site_id,region,site_size,num_doctors,num_nurses,avg_patient_age,avg_patient_income,trial_success_rate,patient_enrollment_rate,previous_experience,site_rating,accessibility_score,site_type,bed_count,years_operational,training_quality,site_location,site_capacity
212,West,Small,23,38.0,56,67559.0,0.8356586432283011,0.7197243021301444,High,Poor,4,Research,90,21,Poor,Rural,High
213,East,Small,8,54.0,34,86546.0,0.5581306769682016,0.8834925602892153,High,Average,4,Community,279,28,Average,Rural,High
214,South,Medium,30,58.0,46,46771.0,0.7022786975125496,0.683401384693582,Low,Average,2,Research,75,16,Poor,Suburban,Medium
215,East,Large,42,44.0,41,56526.0,0.5248165667826217,0.6785340429299284,Low,Average,5,Research,99,26,Good,Suburban,High
216,East,Small,46,49.0,28,69896.0,0.5284622715511639,0.7765760234191925,High,Average,1,Research,51,20,Average,Urban,Low
217,West,Large,36,23.0,49,71923.0,0.7295463398708385,0.6912972360867311,Medium,Poor,9,Community,104,2,Average,Suburban,High
218,West,Medium,43,44.0,45,76203.0,0.7264073699551283,0.6031804622329257,Medium,Average,5,Research,153,5,Average,Rural,High
219,North,Medium,49,57.0,61,79390.0,0.8512134051377829,0.8269041345545805,Low,Poor,6,Teaching,233,18,Excellent,Rural,Medium
220,North,Small,40,,62,,0.7231494702640293,0.7788828375153393,Low,Poor,2,Teaching,63,28,Average,Suburban,Medium
221,South,Medium,44,29.0,25,87574.0,0.8839164081619402,0.7559312350726064,Low,Average,10,Research,183,7,Excellent,Urban,Medium
222,North,Small,41,58.0,49,83391.0,0.5194779393599719,0.9384389801164104,Low,Poor,10,Community,283,11,Excellent,Rural,Medium
223,East,Medium,37,22.0,60,41848.0,0.5392030739122964,0.7999197143870198,Low,Excellent,1,Community,177,25,Poor,Suburban,Low
224,West,Medium,40,47.0,41,71027.0,0.5176263446281526,0.9022010522262845,Low,Excellent,4,Community,153,25,Poor,Urban,High
225,North,Small,7,58.0,65,75464.0,0.574110740133416,0.648807582671806,Low,Good,7,Research,144,11,Average,Urban,High
226,North,Small,13,55.0,48,74485.0,0.7165080443766713,0.7992222620952997,Medium,Excellent,6,Research,130,22,Good,Rural,Medium
227,South,Small,12,58.0,26,59456.0,0.7582288725709712,0.9037928693558159,Low,Poor,10,Teaching,266,17,Average,Rural,Low
228,South,Medium,37,17.0,64,49259.0,0.5182340631794675,0.8040870150479642,Low,Poor,1,Community,110,16,Poor,Urban,Low
229,East,Medium,10,52.0,39,75554.0,0.8783883559382397,0.8513049623444505,Medium,Excellent,1,Teaching,273,13,Average,Urban,High
230,West,Large,45,,56,,0.8368661506601525,0.7302152487342726,Medium,Average,8,Teaching,61,22,Poor,Urban,Medium
231,South,Small,43,42.0,63,53409.0,0.6186449928628373,0.6323573309629733,High,Average,4,Community,290,5,Average,Suburban,High
232,North,Medium,8,35.0,30,43791.0,0.5308750120905872,0.7602651032944749,Low,Poor,5,Research,62,20,Good,Rural,High
233,West,Medium,17,48.0,25,65864.0,0.5679548292876229,0.7380677867936001,Low,Average,7,Research,196,16,Average,Urban,Low
234,West,Small,6,30.0,47,76639.0,0.5507777655019891,0.9034710638326315,Low,Good,8,Teaching,221,28,Good,Rural,Low
235,North,Large,9,58.0,63,74574.0,0.5493135117195788,0.6853983558233653,Low,Good,10,Teaching,289,22,Good,Rural,High
236,South,Small,48,51.0,41,57888.0,0.7074246754662936,0.9383569796372877,High,Excellent,7,Teaching,138,22,Average,Rural,Medium
237,North,Large,31,52.0,58,59692.0,0.5983389769973602,0.9353483419315736,Medium,Excellent,2,Teaching,144,16,Good,Urban,Medium
238,West,Medium,36,50.0,65,63501.0,0.6432558866116578,0.6866710750750036,Medium,Average,4,Community,108,16,Good,Suburban,High
239,Central,Large,25,18.0,53,53304.0,0.8958021333537289,0.7218181844170621,Low,Poor,10,Teaching,86,14,Poor,Urban,High
240,Central,Medium,12,33.0,33,67527.0,0.7737256995701379,0.9134445093058596,Low,Excellent,1,Teaching,74,6,Poor,Rural,Medium
241,East,Small,42,46.0,37,58074.0,0.8795922668188005,0.9383177773136375,Low,Good,10,Research,65,2,Good,Urban,Medium
242,North,Small,12,58.0,30,55549.0,0.5570226220132463,0.7552036859926154,High,Excellent,9,Research,298,14,Excellent,Urban,Medium
243,North,Small,7,,30,,0.6528557899330277,0.7123489659743142,High,Excellent,3,Research,215,16,Average,Rural,High
244,East,Large,48,26.0,44,65920.0,0.7218927213129417,0.7841329046380396,Medium,Good,3,Community,220,23,Good,Rural,Low
245,East,Medium,7,33.0,27,70826.0,0.5307032247554953,0.8407192222280071,Low,Poor,10,Community,290,20,Average,Urban,Medium
246,East,Small,26,30.0,41,76071.0,0.5016749774511832,0.6957160803812429,Low,Excellent,9,Research,299,13,Poor,Urban,Medium
247,West,Small,10,48.0,36,56061.0,0.768173733518767,0.8577656111166754,Low,Excellent,10,Research,136,15,Average,Urban,Medium
248,North,Medium,6,,69,,0.7567278067205742,0.6180800749901243,Low,Excellent,3,Teaching,191,12,Good,Urban,High
249,West,Small,27,48.0,25,87966.0,0.6643155239998447,0.6172530724675457,High,Average,8,Teaching,183,9,Good,Suburban,Low
250,East,Medium,48,22.0,41,62800.0,0.695857630412813,0.7352006968009408,Medium,Excellent,2,Community,266,26,Good,Urban,Low
251,North,Medium,6,,27,,0.6661772002368358,0.7237156172212522,Medium,Good,3,Community,72,18,Good,Suburban,Medium
252,West,Medium,42,,50,,0.5096020179379556,0.7104716253785033,High,Poor,2,Teaching,175,21,Excellent,Rural,High
253,West,Medium,21,28.0,39,49940.0,0.634148642486985,0.7718569169341185,Low,Poor,1,Research,109,14,Excellent,Suburban,Low
254,East,Medium,39,20.0,60,43924.0,0.5708329021589159,0.7122567538090498,Medium,Good,2,Teaching,284,20,Excellent,Rural,High
255,North,Large,38,22.0,56,68054.0,0.5393696756405475,0.6672902714638321,Medium,Average,8,Community,189,25,Good,Suburban,Low
256,East,Small,27,,56,,0.8826881735557399,0.7083143421810103,High,Good,9,Community,190,4,Excellent,Rural,Medium
257,North,Large,34,54.0,28,77253.0,0.7397438900168662,0.9412164954835822,Low,Poor,2,Teaching,149,8,Average,Urban,High
258,Central,Small,12,10.0,42,85397.0,0.7914625136946412,0.743889695948197,Medium,Good,7,Teaching,152,8,Good,Suburban,Medium
259,South,Large,26,49.0,43,53233.0,0.626145497306447,0.7556494719004174,Low,Average,5,Teaching,275,22,Poor,Suburban,Low
260,South,Medium,48,53.0,67,85669.0,0.6572588517976061,0.8017907464828989,Medium,Poor,3,Community,183,22,Good,Rural,Low
261,South,Small,40,,59,,0.5947695975586894,0.9441692689449792,High,Average,9,Research,112,16,Average,Rural,Medium
262,East,Small,9,21.0,64,65068.0,0.5387862683861699,0.684560446752517,Low,Good,6,Teaching,87,27,Excellent,Suburban,Low
263,Central,Large,17,17.0,38,40191.0,0.5716126549766335,0.8384487386863518,High,Excellent,1,Community,177,24,Good,Rural,Medium
264,North,Large,33,17.0,57,65074.0,0.8190056181185943,0.8505946427396034,Medium,Good,5,Community,99,28,Excellent,Urban,Medium
265,West,Small,35,54.0,38,44917.0,0.7710183220735103,0.8125635458775731,High,Average,7,Community,229,29,Good,Suburban,Medium
266,North,Large,20,21.0,58,78599.0,0.7187715503941907,0.6310024188728254,High,Good,4,Teaching,89,28,Average,Urban,Low
267,West,Large,46,,28,,0.6900359491467072,0.8369052965396517,High,Excellent,8,Teaching,57,10,Good,Suburban,High
268,North,Large,34,42.0,48,82928.0,0.8689737134624498,0.6224331488626614,Medium,Average,10,Research,238,25,Excellent,Urban,Medium
269,Central,Medium,20,54.0,53,60706.0,0.5290939791114674,0.8086499273424639,Low,Good,5,Community,57,21,Excellent,Suburban,High
270,West,Medium,16,35.0,43,53682.0,0.6122403252951664,0.8588534120276099,High,Average,9,Teaching,153,27,Average,Rural,Low
271,East,Large,21,48.0,30,66762.0,0.6399751414282856,0.6738394617169826,Low,Average,9,Community,274,17,Good,Suburban,Low
272,North,Large,20,37.0,57,63383.0,0.8129703248851152,0.8945677026399709,Medium,Poor,9,Community,83,1,Poor,Urban,High
273,North,Medium,16,14.0,64,67796.0,0.8970058480647886,0.6106238319365515,Low,Poor,1,Research,285,18,Good,Suburban,Medium
274,West,Medium,12,17.0,43,63666.0,0.5962682059028612,0.8953345022804071,High,Average,2,Teaching,256,10,Average,Urban,Low
275,East,Small,24,34.0,25,65662.0,0.8497229336548322,0.7611151677249677,High,Good,3,Teaching,277,26,Poor,Urban,Medium
276,East,Small,7,36.0,29,85159.0,0.8322491041727165,0.6761557789760755,High,Good,4,Community,237,21,Average,Urban,Medium
277,Central,Medium,20,55.0,51,74642.0,0.5898629590567066,0.6468223507478887,High,Good,10,Community,106,4,Good,Rural,High
278,East,Large,34,32.0,40,81830.0,0.659733032079689,0.9336575086538303,High,Excellent,9,Research,276,1,Poor,Suburban,Low
279,East,Large,49,39.0,30,77531.0,0.6638691477170077,0.6254329556534048,High,Average,10,Research,223,4,Average,Urban,High
280,East,Large,27,,64,,0.8912882674106233,0.669682696977574,Medium,Average,6,Research,71,4,Excellent,Rural,Low
281,South,Large,32,56.0,37,49221.0,0.5723567605515594,0.7217378216015661,Medium,Excellent,1,Research,136,26,Poor,Urban,High
282,Central,Small,44,32.0,59,51410.0,0.8196631884419128,0.8170821971363922,Medium,Average,9,Research,89,4,Poor,Suburban,Low
283,North,Medium,9,58.0,43,54519.0,0.633677085669244,0.7906803798466344,Low,Average,6,Research,222,17,Average,Rural,Low
284,West,Large,24,56.0,36,41051.0,0.7923481383104642,0.6439752223443098,Low,Excellent,4,Community,232,9,Excellent,Urban,Low
285,North,Small,44,29.0,40,84993.0,0.6680044017182651,0.7014047943083751,Medium,Poor,4,Research,228,19,Poor,Urban,Medium
286,Central,Large,48,27.0,67,49765.0,0.731343905246616,0.6835631198801084,Low,Average,3,Community,135,13,Average,Urban,Medium
287,West,Medium,5,27.0,34,51382.0,0.8330447093304525,0.6747399990716194,Low,Excellent,7,Community,182,4,Poor,Suburban,High
288,Central,Small,34,11.0,49,52580.0,0.8216662259935537,0.7439005177679954,High,Good,3,Teaching,144,5,Poor,Rural,High
289,East,Medium,25,13.0,44,72323.0,0.8465692734158801,0.8464110084070798,High,Poor,2,Community,62,29,Poor,Rural,Low
290,West,Medium,24,39.0,55,84757.0,0.5238469301378637,0.6761085262760326,Low,Good,10,Community,77,13,Excellent,Rural,Low
291,East,Small,10,,28,,0.7768202212158979,0.7283376078960435,Low,Average,8,Research,299,23,Good,Urban,Medium
292,North,Small,26,45.0,68,69964.0,0.5559949506887052,0.7368210993944068,Medium,Poor,4,Community,133,16,Good,Rural,Medium
293,North,Small,22,,47,,0.6663274272073644,0.9417597853023936,Low,Excellent,8,Research,274,22,Excellent,Urban,Medium
294,West,Small,12,46.0,26,43359.0,0.7194353660218754,0.9341332249076741,High,Average,1,Research,257,5,Excellent,Suburban,High
295,West,Small,43,28.0,46,69648.0,0.6610957938987323,0.8800481539632266,Low,Excellent,5,Research,111,8,Average,Rural,Medium
296,Central,Small,36,56.0,61,75944.0,0.707844670321203,0.6845806222867148,Medium,Poor,9,Teaching,142,16,Poor,Urban,High
297,Central,Small,37,37.0,32,74019.0,0.8986105235194477,0.6238130599320844,High,Good,1,Research,136,1,Excellent,Rural,Medium
298,East,Large,20,49.0,31,78134.0,0.5540869254851419,0.7109164482022187,High,Average,4,Community,73,23,Average,Rural,Medium
299,West,Medium,16,,38,,0.7701824181345702,0.6933780923018408,High,Average,6,Research,147,28,Good,Suburban,Low
300,North,Small,42,58.0,27,46226.0,0.658400386554246,0.7770740300512378,High,Excellent,10,Research,56,6,Good,Rural,High
301,Central,Large,38,42.0,40,61689.0,0.5532039195629315,0.8722047685237275,Low,Poor,8,Research,215,11,Good,Suburban,Medium
302,Central,Large,18,21.0,43,70971.0,0.5634947053497238,0.9004130286076002,Medium,Excellent,3,Teaching,86,16,Good,Rural,Low
303,North,Large,40,,42,,0.8797092424982468,0.895702429893678,Low,Poor,5,Community,117,5,Average,Rural,High
304,Central,Medium,37,50.0,40,64423.0,0.8518405986847049,0.7258864464280737,Low,Average,7,Teaching,275,16,Poor,Rural,High
305,East,Small,27,48.0,32,70391.0,0.8628167841660088,0.840532020211239,High,Poor,1,Community,219,7,Average,Rural,Medium
306,West,Large,49,,57,,0.8966131103309547,0.709491969133477,Medium,Average,7,Teaching,135,19,Poor,Rural,High
307,North,Medium,6,38.0,36,44891.0,0.5833261560034072,0.621316940132314,High,Poor,8,Community,182,1,Good,Rural,Low
308,West,Medium,45,50.0,35,44992.0,0.6421757349456247,0.8455478429610298,Low,Good,8,Teaching,241,9,Excellent,Suburban,Low
309,Central,Medium,25,,29,,0.7676876119699467,0.6034396433994257,Low,Poor,9,Research,227,18,Excellent,Suburban,High
310,Central,Large,6,11.0,51,52497.0,0.6935210159442589,0.743213905610471,High,Good,6,Teaching,283,13,Excellent,Urban,Low
311,North,Small,31,20.0,36,72551.0,0.6673558133513334,0.7152827442557265,Low,Poor,6,Teaching,136,26,Poor,Rural,High
312,East,Large,13,22.0,41,50848.0,0.6431244997342372,0.8426821384815983,Low,Poor,2,Research,295,15,Good,Suburban,Low
313,South,Large,5,19.0,30,53255.0,0.7375122527773809,0.8681859154661326,High,Excellent,3,Research,64,3,Average,Rural,High
314,North,Small,15,23.0,57,44567.0,0.7302373714560328,0.7064331225899493,Low,Excellent,4,Community,272,24,Excellent,Rural,High
315,South,Small,7,,29,,0.564583133625696,0.8840694550556987,Medium,Average,4,Community,172,28,Poor,Suburban,High
316,South,Small,27,18.0,52,79281.0,0.6886959350073756,0.7028708661767268,High,Excellent,8,Community,250,10,Excellent,Rural,Low
317,East,Medium,30,48.0,38,88003.0,0.7213887104839399,0.7562142259952964,Medium,Poor,1,Teaching,156,9,Average,Suburban,High
318,South,Small,8,37.0,29,60389.0,0.7281147754925562,0.8544564844549468,Low,Excellent,10,Community,299,13,Good,Suburban,High
319,South,Large,22,12.0,57,84523.0,0.5840428771649407,0.8425220802286759,Low,Poor,4,Teaching,230,16,Average,Urban,Medium
320,East,Small,10,29.0,65,83919.0,0.7969085569009147,0.94557896530927,High,Good,4,Teaching,202,3,Good,Urban,Medium
321,South,Large,39,15.0,43,56567.0,0.5100796379284278,0.6788063584755761,Low,Poor,1,Community,138,22,Good,Urban,High
322,South,Medium,26,36.0,46,43358.0,0.641932742217265,0.8318112697388538,High,Average,3,Community,174,23,Good,Urban,Medium
323,South,Large,47,11.0,29,62999.0,0.8120850594142535,0.8133886678965221,High,Good,5,Teaching,162,15,Excellent,Rural,High
324,North,Large,19,38.0,26,82358.0,0.7255571684221609,0.9202844590715105,High,Average,6,Research,262,17,Average,Rural,Medium
325,North,Small,26,47.0,54,50988.0,0.6044649730043441,0.6547267495757062,High,Average,9,Research,186,14,Excellent,Urban,Low
326,North,Small,41,12.0,63,80446.0,0.7779812477372191,0.8631293572554265,High,Average,9,Teaching,296,7,Average,Suburban,Low
327,East,Large,46,25.0,28,71521.0,0.7269563776624294,0.7988940156940689,Medium,Excellent,9,Community,289,20,Poor,Suburban,High
328,Central,Small,16,39.0,57,45698.0,0.818497443782555,0.6961330544257669,High,Average,1,Teaching,215,16,Poor,Suburban,High
329,South,Medium,46,49.0,37,41273.0,0.7940100744759293,0.766052219951511,Medium,Good,9,Teaching,199,21,Average,Suburban,Low
330,South,Medium,42,11.0,44,67543.0,0.7440431688144938,0.7168218089744292,Low,Poor,8,Community,156,8,Average,Rural,Low
331,East,Small,22,26.0,31,71349.0,0.6952710701243257,0.8027596909759613,High,Average,2,Research,136,4,Average,Suburban,Medium
332,South,Medium,49,50.0,39,51241.0,0.5532728502670093,0.9111502137851331,Low,Good,1,Teaching,226,20,Average,Suburban,High
333,North,Small,39,21.0,47,49497.0,0.6045332071541535,0.7992567445442706,High,Average,1,Research,117,24,Good,Urban,Low
334,Central,Large,34,,38,,0.6676397891668341,0.8211028464143044,Medium,Poor,6,Research,270,15,Excellent,Suburban,Low
335,West,Large,28,52.0,47,72703.0,0.7397197148025555,0.7815617464901483,Medium,Good,9,Community,64,5,Good,Rural,High
336,South,Medium,46,10.0,43,84041.0,0.705483142086122,0.6179079272559166,Medium,Good,7,Teaching,114,13,Excellent,Suburban,Medium
337,North,Small,34,54.0,53,71954.0,0.6152738103838118,0.681500494906633,Low,Poor,5,Teaching,103,6,Excellent,Suburban,Medium
338,West,Small,18,24.0,44,48002.0,0.5025857431158842,0.7722006053012289,High,Good,2,Research,207,28,Excellent,Rural,Medium
339,Central,Medium,10,35.0,53,44247.0,0.6984956887603255,0.7085823493106467,Low,Poor,1,Research,142,27,Good,Urban,Medium
340,West,Large,7,46.0,48,81988.0,0.6142503954248972,0.663617259216418,Medium,Good,2,Community,69,5,Average,Rural,Low
341,North,Medium,20,30.0,42,61698.0,0.7938433202842141,0.7764464946714533,Low,Good,1,Research,82,17,Good,Urban,High
342,West,Large,11,58.0,34,59738.0,0.5095785061081934,0.7129834277067476,Medium,Poor,3,Community,282,7,Good,Suburban,High
343,East,Small,18,40.0,65,50703.0,0.7339311245223163,0.6903376751106951,Medium,Poor,6,Teaching,285,6,Excellent,Urban,Low
344,West,Large,13,34.0,32,88240.0,0.8765896950024261,0.7623948961041332,Medium,Good,8,Community,149,2,Poor,Urban,Low
345,South,Medium,19,32.0,50,89422.0,0.5697637068445998,0.6466494903287606,High,Good,3,Research,263,11,Poor,Urban,Low
346,South,Small,25,33.0,53,57570.0,0.6886597963002381,0.9247110065763925,High,Poor,10,Teaching,126,7,Good,Suburban,High
347,East,Medium,39,47.0,34,52392.0,0.5365687967268553,0.9036957342717336,Medium,Excellent,9,Community,184,22,Excellent,Urban,High
348,North,Medium,6,,41,,0.7502727649045411,0.8476672050091874,Low,Poor,10,Teaching,185,21,Good,Urban,High
349,South,Large,31,30.0,26,72299.0,0.7202126722384903,0.6371748396559597,Low,Good,5,Community,205,8,Good,Suburban,Medium
350,Central,Medium,6,52.0,30,55641.0,0.662946209685133,0.8715570390643925,High,Good,7,Research,222,5,Average,Rural,Low
351,South,Large,39,27.0,29,53998.0,0.7085508085894965,0.8827850648381566,Medium,Good,8,Research,156,27,Excellent,Rural,Low
352,South,Small,22,45.0,52,46305.0,0.8586298633876042,0.8687176162000181,Low,Poor,3,Teaching,250,18,Poor,Rural,Low
353,North,Large,18,44.0,65,72726.0,0.5785177209244268,0.6398880604917344,Medium,Good,2,Teaching,266,22,Poor,Suburban,High
354,West,Small,24,54.0,29,58782.0,0.5090258046821389,0.8253677849737175,Low,Excellent,2,Teaching,169,16,Poor,Suburban,Low
355,South,Large,22,18.0,42,52721.0,0.8446659538796404,0.8920136785122894,High,Average,5,Community,257,14,Good,Rural,Low
356,East,Medium,14,47.0,50,79763.0,0.7308468329551626,0.8020736904268837,Medium,Excellent,1,Research,123,12,Excellent,Urban,Medium
357,West,Large,29,39.0,44,52427.0,0.856263382184737,0.8262425813298311,Medium,Poor,2,Teaching,60,17,Average,Rural,High
358,Central,Large,6,53.0,65,86550.0,0.738778089365269,0.7604272177992071,Low,Good,9,Teaching,80,5,Poor,Suburban,Low
359,North,Small,29,43.0,51,60566.0,0.824064435983881,0.7850475619594184,Low,Poor,7,Teaching,61,14,Excellent,Urban,High
360,Central,Medium,37,41.0,36,42230.0,0.6718693453420592,0.6120319004231038,Low,Average,6,Community,173,6,Poor,Urban,High
361,West,Large,40,12.0,31,46511.0,0.7999439725153075,0.8236370576906495,Medium,Poor,9,Teaching,272,15,Average,Suburban,High
362,West,Medium,35,12.0,27,89280.0,0.8652165867559425,0.6285065245119057,High,Good,7,Teaching,127,7,Excellent,Urban,Medium
363,West,Large,18,37.0,34,82229.0,0.7288491854888826,0.7522551080190781,High,Average,5,Community,228,14,Good,Rural,High
364,Central,Large,5,53.0,58,66177.0,0.5723140602249518,0.7024292841835927,Low,Average,9,Community,221,18,Good,Suburban,High
365,West,Medium,20,24.0,49,44765.0,0.6075190460120793,0.7908997825740995,High,Good,6,Teaching,145,1,Poor,Suburban,High
366,Central,Large,7,50.0,59,60354.0,0.5794578307589623,0.6466957174331225,Low,Good,6,Teaching,99,6,Poor,Suburban,Low
367,West,Medium,39,32.0,40,63929.0,0.5987428110382932,0.8420751906906614,High,Good,4,Community,166,3,Excellent,Suburban,Medium
368,East,Large,45,49.0,26,68820.0,0.6225661797404145,0.8782540379249646,Medium,Poor,1,Research,66,5,Average,Urban,Low
369,West,Small,10,20.0,48,86040.0,0.7220535147012754,0.6571740574101047,Low,Excellent,5,Community,212,12,Poor,Suburban,Medium
370,Central,Medium,29,,34,,0.7351966517855331,0.6365095805731588,High,Poor,9,Research,178,11,Excellent,Suburban,Medium
371,South,Large,17,41.0,62,45552.0,0.6705998988967444,0.6509304189755757,Medium,Poor,8,Teaching,206,13,Average,Urban,High
372,West,Large,38,45.0,46,40627.0,0.7461683119283342,0.9069946466644756,High,Excellent,8,Teaching,228,16,Poor,Suburban,High
373,South,Small,12,42.0,50,51989.0,0.5326299702445464,0.7848662416147246,Medium,Good,5,Research,113,18,Poor,Urban,Low
374,East,Medium,25,33.0,67,53780.0,0.535115294823264,0.7635413486026259,Medium,Good,9,Community,181,17,Excellent,Urban,Medium
375,North,Large,38,48.0,63,46589.0,0.5687317841430634,0.6373491366858239,High,Excellent,3,Teaching,136,17,Poor,Suburban,High
376,East,Small,8,43.0,51,74812.0,0.7072309992161379,0.8273446023649366,High,Excellent,3,Research,205,29,Good,Rural,High
377,West,Large,29,37.0,53,68128.0,0.5855978714793254,0.9037998571632815,Medium,Poor,1,Community,65,11,Average,Suburban,High
378,South,Medium,19,46.0,62,85939.0,0.613313761397031,0.8898650542632085,Medium,Average,9,Research,112,20,Average,Rural,High
379,South,Large,8,16.0,44,78652.0,0.6601251344691976,0.8191191481432805,Medium,Excellent,6,Community,125,10,Good,Urban,Low
380,Central,Large,49,13.0,51,67790.0,0.8247464496041519,0.6263475508280858,Low,Poor,2,Community,230,29,Excellent,Rural,Low
381,South,Large,16,46.0,65,80953.0,0.5055448543651441,0.6393389595116045,Medium,Average,8,Community,134,16,Good,Suburban,High
382,Central,Large,36,10.0,44,40249.0,0.759751528094649,0.6172581454884386,Low,Good,9,Community,158,2,Good,Suburban,High
383,North,Small,36,10.0,68,59309.0,0.7675506124162741,0.6901177257723642,Medium,Good,9,Research,66,17,Average,Rural,High
384,West,Small,32,,43,,0.8194623121426546,0.6474815135061321,Low,Poor,2,Research,217,22,Excellent,Suburban,High
385,Central,Medium,17,29.0,44,63576.0,0.8731011756241254,0.6910168140883518,Medium,Poor,2,Research,190,20,Poor,Rural,High
386,North,Small,35,,59,,0.5080551395797159,0.7347703195016365,Medium,Excellent,7,Research,229,10,Good,Urban,Medium
387,South,Small,18,38.0,26,49175.0,0.5615134822052865,0.9300439744248974,Medium,Good,4,Research,107,13,Good,Rural,Medium
388,South,Medium,24,19.0,54,65464.0,0.8544685176223972,0.8136316209235922,High,Poor,1,Community,273,12,Excellent,Rural,Medium
389,North,Small,22,27.0,58,56260.0,0.6834074248748061,0.8922408249890368,High,Good,8,Teaching,214,15,Good,Rural,Medium
390,South,Small,33,37.0,46,75440.0,0.7258362555733854,0.8486230252493162,Medium,Good,2,Teaching,291,7,Excellent,Rural,High
391,North,Medium,10,44.0,27,69546.0,0.765210881489259,0.6393760956843211,Low,Excellent,3,Research,128,27,Poor,Urban,Medium
392,Central,Medium,36,52.0,30,80047.0,0.7716266417982549,0.8575721422308821,Low,Average,5,Research,253,22,Excellent,Urban,Medium
393,Central,Medium,33,56.0,39,81430.0,0.8726961613266033,0.6962846085456935,Medium,Excellent,3,Teaching,110,21,Poor,Urban,Low
394,North,Large,47,40.0,51,41987.0,0.8987797669646679,0.8236877464481471,High,Poor,7,Community,162,26,Excellent,Rural,Medium
395,Central,Large,6,36.0,34,89242.0,0.7880629843723761,0.7193366907750459,Low,Excellent,7,Research,170,28,Good,Urban,Medium
396,Central,Medium,27,,33,,0.6148884836820603,0.9491852921426307,High,Excellent,2,Community,256,13,Poor,Suburban,High
397,Central,Medium,23,58.0,57,52948.0,0.8519009609177375,0.6922430178238722,Low,Good,7,Teaching,83,12,Good,Urban,Medium
398,East,Medium,35,58.0,56,53026.0,0.5196883658163046,0.6976956647709943,Medium,Excellent,6,Teaching,119,12,Poor,Rural,Medium
399,West,Large,9,47.0,30,42773.0,0.5924323411497985,0.9257352894468394,High,Poor,10,Research,66,28,Excellent,Suburban,High
400,South,Large,23,14.0,65,85927.0,0.858954286985486,0.6086255416227129,Low,Average,9,Community,289,2,Excellent,Rural,Medium
401,East,Small,38,17.0,60,49878.0,0.602476605775742,0.8438411457556189,Medium,Excellent,9,Research,290,5,Excellent,Suburban,High
402,Central,Small,14,43.0,26,82946.0,0.5882604238486994,0.8538642367575573,Medium,Excellent,2,Teaching,298,25,Average,Rural,Medium
403,North,Medium,29,57.0,53,50377.0,0.5552501172560989,0.8927325020936397,Medium,Average,7,Community,69,25,Average,Rural,Low
404,Central,Large,6,21.0,28,47347.0,0.8436447030587666,0.9410537587234663,High,Poor,5,Research,250,2,Poor,Suburban,Low
405,West,Large,15,,25,,0.7000233036764347,0.9414606717048283,High,Poor,6,Research,108,23,Average,Urban,Medium
406,Central,Large,35,10.0,43,43783.0,0.769957281221662,0.6228468651482624,Medium,Excellent,1,Research,118,26,Excellent,Suburban,Low
407,North,Medium,19,40.0,50,44298.0,0.5956265536300118,0.8876437629635159,High,Good,7,Teaching,264,20,Average,Suburban,High
408,West,Small,13,13.0,49,44668.0,0.8032161684044866,0.8262084767800835,Low,Excellent,6,Research,210,13,Average,Suburban,Medium
409,Central,Medium,27,,34,,0.8040022179848394,0.8265697470305818,Medium,Average,4,Community,151,29,Good,Suburban,High
410,West,Small,23,54.0,39,74820.0,0.6250392099633201,0.6449224743151432,Medium,Average,1,Research,169,3,Poor,Suburban,Low
411,South,Small,13,59.0,46,74484.0,0.6642730532041131,0.8275655082559786,High,Average,9,Teaching,255,11,Poor,Rural,High
412,South,Medium,39,14.0,45,73078.0,0.5838761109720804,0.9438689032104367,Medium,Excellent,4,Research,194,16,Poor,Rural,Low
413,Central,Small,25,39.0,46,87159.0,0.8906244093291618,0.9191364993388064,Low,Excellent,2,Teaching,106,1,Average,Urban,Low
414,West,Small,13,33.0,60,60922.0,0.7582410308233647,0.7536957312816976,High,Poor,8,Teaching,132,19,Excellent,Urban,Low
415,North,Large,32,12.0,58,74028.0,0.8738175522862062,0.613981790650133,High,Good,2,Community,274,11,Good,Suburban,High
416,Central,Small,11,20.0,54,85925.0,0.6213542174516533,0.7268027215000716,Medium,Excellent,5,Community,178,9,Poor,Urban,Low
417,South,Medium,20,54.0,49,60316.0,0.8127563651987559,0.8892366090601943,Medium,Poor,6,Research,62,14,Average,Urban,Medium
418,South,Medium,20,13.0,69,51460.0,0.8063434575538968,0.845524685512808,Medium,Excellent,8,Teaching,287,9,Excellent,Suburban,Low
419,Central,Small,37,35.0,52,56968.0,0.7766622607466167,0.7607702794578847,High,Poor,1,Teaching,204,7,Good,Rural,Medium
420,West,Large,8,36.0,25,70266.0,0.8862555901067202,0.6192855373055909,Medium,Poor,1,Community,247,16,Good,Rural,Medium
421,South,Large,8,55.0,69,70209.0,0.6574221344425262,0.749413154738156,Low,Good,4,Community,236,3,Poor,Urban,Medium
422,West,Small,43,52.0,28,64000.0,0.552286929435903,0.7641587289012592,Medium,Excellent,5,Research,55,29,Poor,Rural,Medium
423,South,Small,44,36.0,31,54011.0,0.7686835436976243,0.9249944365129475,Medium,Poor,9,Teaching,146,19,Excellent,Rural,High
424,South,Medium,21,51.0,33,42866.0,0.7917239201908826,0.8243801362537557,High,Average,7,Community,143,4,Average,Urban,Medium
